LotId,ExternalDealerId,Vin,StockNumber,Year,Make,Model,InternetPrice,ListPrice,InvoicePrice,ExteriorColor,InteriorColor,Transmission,Trim,Engine,Odometer,Cylinder,EngineFuelType,ModelNumber,BodyStyle,PhotoURL,Options,NewUsed
19004,327,1GNDT13S222510988,22510988,2002,Chevrolet,TrailBlazer,5697,0,0,,,Automatic,LS,Gas I6,124075,,,,4dr 4WD LS,,Air Conditioning; Driver Side Air Bag; Luggage Rack; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19003,327,1GCEK19Z64Z210546,PZ210546,2004,Chevrolet,Silverado 1500,19850,0,0,BLUE,,,Work Truck,Gas V8,49855,,,,Ext Cab 143.5" WB 4WD Work Truck,"http://images.webmakerx.net/InventoryPhotos/1GCE/K19Z/64Z/1GCEK19Z64Z210546/1GCEK19Z64Z210546_1(3).jpg",,U
19003,327,1G4HR54K54U120680,PU120680,2004,Buick,LeSabre,15250,0,0,RED,,Automatic,Limited,Gas V6,51070,,,,4dr Sdn Limited,"http://images.webmakerx.net/InventoryPhotos/1G4H/R54K/54U/1G4HR54K54U120680/1G4HR54K54U120680_1(2).jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Tilt Wheel; Traction Control,U
19003,327,1G2ZH18N374103300,P4103300,2007,Pontiac,G6,14987,0,0,BLACK,,Automatic,GT,Gas V6,32111,,,,2dr Cpe GT,"http://images.webmakerx.net/InventoryPhotos/1G2Z/H18N/374/1G2ZH18N374103300/1G2ZH18N374103300_1.jpg",Air Conditioning; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Traction Control,U
19009,329,JNKCV54EX4M302393,PM302393,2004,Infiniti,G35 Coupe,21921,0,0,SILVER,,M,Basic,Gas V6,38791,,,P,2dr Cpe Auto,"http://images.webmakerx.net/InventoryPhotos/JNKC/V54E/X4M/JNKCV54EX4M302393/JNKCV54EX4M302393_1(1).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Tilt Wheel; Traction Control,U
19010,329,4T3ZF13C9YU293048,U293048,2000,Toyota,Sienna,6961,0,0,GREEN,,A,XLE,Gas V6,106758,,,T,5dr XLE,"http://images.webmakerx.net/InventoryPhotos/4T3Z/F13C/9YU/4T3ZF13C9YU293048/4T3ZF13C9YU293048_1(1).jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Rear Air Conditioning; Tilt Wheel,U
5291,1058,1GTEC14XX3Z271772,MT8189A,2003,GMC,Sierra 1500,0,0,0,WHITE,GRAY,Automatic,Work Truck,Gas V6,127376,6,,,Reg Cab 133.0" WB Work Truck,"http://images.webmakerx.net/InventoryPhotos/1GTE/C14X/X3Z/1GTEC14XX3Z271772/1GTEC14XX3Z271772_1.jpg",Air Conditioning; Am/Fm Stereo; Bed Liner; Daytime Running Lights; Passenger Air Bag; Power Steering; Rear Wheel Drive; Driver Air Bag; Intermittent Wipers; Front Tow Hooks; Compact Disc; Passenger Air Bag On/Off Switch; 4-wheel Abs; 4-wheel Disc Brakes; Adjustable Steering Wheel; Gasoline Fuel; Vehicle Anti-theft System; Dual Zone Air Conditioning; V6 Cylinder Engine; Air Dam Gray; Tailgate Protection Top Of Tailgate Protection Cap; Frame Ladder Type,U
19004,327,9BWDE61J334034367,4034367,2003,Volkswagen,GTI,8697,0,0,BLUE,,,Basic,Gas I4,99948,,,,2dr HB 1.8T 5-spd Manual,"http://images.webmakerx.net/InventoryPhotos/9BWD/E61J/334/9BWDE61J334034367/9BWDE61J334034367_1(2).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19003,327,1D7HU18D44J168752,J168752,2004,Dodge,Ram 1500,18850,0,0,GRAY,,,ST,Gas V8,35975,,,,4dr Quad Cab 140.5" WB 4WD ST,"http://images.webmakerx.net/InventoryPhotos/1D7H/U18D/44J/1D7HU18D44J168752/1D7HU18D44J168752_1(2).jpg",,U
19004,327,1C3EL55R24N150464,PN150464,2004,Chrysler,Sebring,7897,0,0,GRAY,,Automatic,LXi,Gas V6,97903,,,,2004 2dr Convertible LXi,"http://images.webmakerx.net/InventoryPhotos/1C3E/L55R/24N/1C3EL55R24N150464/1C3EL55R24N150464_1.jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19003,327,2G1WX15K529230771,9230771,2002,Chevrolet,Monte Carlo,12450,0,0,,,Automatic,SS,Gas V6,67351,,,,2dr Cpe SS,"http://images.webmakerx.net/InventoryPhotos/2G1W/X15K/529/2G1WX15K529230771/2G1WX15K529230771_1(2).jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19003,327,2G1WT58K379114586,P9114586,2007,Chevrolet,Impala,14897,0,0,GOLD,,Automatic,3.5L LT,Gas/Ethanol V6,28976,,,,4dr Sdn 3.5L LT,"http://images.webmakerx.net/InventoryPhotos/2G1W/T58K/379/2G1WT58K379114586/2G1WT58K379114586_1(2).jpg",Air Conditioning; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19004,327,1GTEK14K9RZ570623,Z570623,1994,GMC,Sierra 1500,4397,0,0,,,,Basic,,145776,,,,Reg Cab 117.5" WB 4WD,"http://images.webmakerx.net/InventoryPhotos/1GTE/K14K/9RZ/1GTEK14K9RZ570623/1GTEK14K9RZ570623_1(2).jpg",,U
19004,327,1G4HR54K7YU218535,ZU218535,2000,Buick,LeSabre,4397,0,0,,,Automatic,Limited,Gas V6,133004,,,,4dr Sdn Limited ,"http://images.webmakerx.net/InventoryPhotos/1G4H/R54K/7YU/1G4HR54K7YU218535/1G4HR54K7YU218535_1(2).jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Tilt Wheel,U
5291,1058,2G4WS52M4X1444428,MC8060A,1999,Buick,Century,0,0,0,BROWN,TAN,Automatic,Custom,Gas V6,85180,6,,,4dr Sdn Custom,"http://images.webmakerx.net/InventoryPhotos/2G4W/S52M/4X1/2G4WS52M4X1444428/2G4WS52M4X1444428_1.jpg",Am/Fm Stereo; Cloth Seats; Cruise Control; Daytime Running Lights; Front Wheel Drive; Keyless Entry; Passenger Air Bag; Power Door Locks; Power Mirrors; Power Seat; Power Steering; Power Windows; Rear Defrost; Split Bench Seat; Driver Air Bag; Intermittent Wipers; Compact Disc; Compact Spare Tire; Child Safety Locks; A/C; 4-speed A/T; 4-wheel Abs; Adjustable Steering Wheel; Auto-on Headlights; Fixed Mast Antenna; Front Disc/Rear Drum Brakes; Gasoline Fuel; Rear Seat Heat Ducts; Vehicle Anti-theft System; Soft-ray Tinted Glass; Composite Tungsten Halogen Headlamps; Solar Control Windshield/Rear Window; Rear Theater Seating W/Fixed Back Seats; V6 Cylinder Engine; 17~5 Gallon Fuel Tank,U
5291,1058,3MEFM15P9WR600615,MT7354C,1998,Mercury,Tracer,0,0,0,WHITE,GRAY,Automatic,LS,Gas I4,103431,4,,,4dr Wgn LS,,Am/Fm Stereo; Cassette; Clock; Cloth Upholstery; Front Wheel Drive; Luggage Rack; Passenger Air Bag; Power Door Locks; Power Mirrors; Power Steering; Power Windows; Rear Defrost; Driver Air Bag; Compact Spare Tire; Child Safety Locks; 4 Cylinder Engine; A/C; Rear Window Wiper/Washer; Auxiliary Pwr Outlet; Day/Night Rearview Mirror; Front Disc/Rear Drum Brakes; Gasoline Fuel; Pass-through Rear Seat; Rear Seat Heat Ducts; Solar Tinted Glass; Flush Windshield/Backlite Glass; Semi-flush Side Glass; 12~7 Gallon Fuel Tank; Full Sound Insulation Pkg; Single-Tip Exhaust,U
1090,399,1G8ZS57N97F220514,002045P,2007,Saturn,Aura,16895,0,0,Berry Red,,Automatic,XE,Gas V6,5148,,,,4dr Sdn XE,"http://images.webmakerx.net/InventoryPhotos/1G8Z/S57N/97F/1G8ZS57N97F220514/1G8ZS57N97F220514_1.jpg",Abs (4-wheel); Air Conditioning; Alloy Wheels; Am/Fm Stereo; Cruise Control; Dual Front Air Bags; Dual Power Seats; Front Side Air Bags; Onstar; Power Door Locks; Power Steering; Power Windows; Tilt Wheel; Traction Control; Fwd; Mp3 (single Cd),U
5291,1058,1FTRE14W05HA01364,MT8122A,2005,Ford,Econoline Cargo Van,0,0,0,WHITE,GRAY,Automatic,Basic,Gas V8,40638,8,,,E-150,,Air Conditioning; Am/Fm Stereo; Cloth Upholstery; Full Size Spare Tire; Passenger Air Bag; Power Door Locks; Power Mirrors; Power Steering; Power Windows; Rear Wheel Drive; Driver Air Bag; 35 Gallon Fuel Tank; 4-wheel Abs; 4-wheel Disc Brakes; Adjustable Steering Wheel; Auxiliary Pwr Outlet; Solar Tinted Glass; Sealed-beam Halogen Headlights; 6700# Gvwr; Inboard Armrest On Front Seats,U
